Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
174,VisitorPattern,0.00,0.13,0.0000
174,NonVisitorPattern,0.00,0.13,0.0000
175,VisitorPattern,0.00,0.15,0.0000
175,NonVisitorPattern,0.00,0.14,0.0000
176,VisitorPattern,0.00,0.15,0.0000
176,NonVisitorPattern,0.00,0.15,0.0000
177,VisitorPattern,0.00,0.14,0.0000
177,NonVisitorPattern,0.00,0.14,0.0000
178,VisitorPattern,0.00,0.14,0.0000
178,NonVisitorPattern,0.00,0.14,0.0000
179,VisitorPattern,0.00,0.14,0.0000
179,NonVisitorPattern,0.00,0.13,0.0000
180,VisitorPattern,0.00,0.14,0.0000
180,NonVisitorPattern,0.00,0.14,0.0000
181,VisitorPattern,0.00,0.15,0.0000
181,NonVisitorPattern,0.00,0.13,0.0000
182,VisitorPattern,0.00,0.13,0.0000
182,NonVisitorPattern,0.00,0.14,0.0000
183,VisitorPattern,0.00,0.14,0.0000
183,NonVisitorPattern,0.00,0.14,0.0000
184,VisitorPattern,0.00,0.14,0.0000
184,NonVisitorPattern,0.00,0.13,0.0000
185,VisitorPattern,0.00,0.15,0.0000
185,NonVisitorPattern,0.00,0.14,0.0000
186,VisitorPattern,0.00,0.14,0.0000
186,NonVisitorPattern,0.00,0.14,0.0000
187,VisitorPattern,0.00,0.14,0.0000
187,NonVisitorPattern,0.00,0.24,0.0000
188,VisitorPattern,0.00,0.24,0.0000
188,NonVisitorPattern,0.00,0.27,0.0000
189,VisitorPattern,0.00,0.16,0.0000
189,NonVisitorPattern,0.00,0.14,0.0000
190,VisitorPattern,0.00,0.15,0.0000
190,NonVisitorPattern,0.00,0.15,0.0000
191,VisitorPattern,0.00,0.14,0.0000
191,NonVisitorPattern,0.00,0.14,0.0000
192,VisitorPattern,0.00,0.14,0.0000
192,NonVisitorPattern,0.00,0.17,0.0000
193,VisitorPattern,0.00,0.16,0.0000
193,NonVisitorPattern,0.00,0.29,0.0000
194,VisitorPattern,0.00,0.41,0.0000
194,NonVisitorPattern,0.00,0.14,0.0000
195,VisitorPattern,0.00,0.15,0.0000
195,NonVisitorPattern,0.00,0.16,0.0000
196,VisitorPattern,0.00,0.15,0.0000
196,NonVisitorPattern,0.00,0.14,0.0000
197,VisitorPattern,0.00,0.16,0.0000
197,NonVisitorPattern,0.00,0.13,0.0000
198,VisitorPattern,0.00,0.15,0.0000
198,NonVisitorPattern,0.00,0.14,0.0000
199,VisitorPattern,0.00,0.14,0.0000
199,NonVisitorPattern,0.00,0.15,0.0000
200,VisitorPattern,0.00,0.16,0.0000
200,NonVisitorPattern,0.00,0.14,0.0000
201,VisitorPattern,0.00,0.14,0.0000
201,NonVisitorPattern,0.00,0.14,0.0000
202,VisitorPattern,0.00,0.15,0.0000
202,NonVisitorPattern,0.00,0.15,0.0000
203,VisitorPattern,0.00,0.15,0.0000
203,NonVisitorPattern,0.00,0.14,0.0000
204,VisitorPattern,0.00,0.15,0.0000
204,NonVisitorPattern,0.00,0.13,0.0000
205,VisitorPattern,0.00,0.15,0.0000
205,NonVisitorPattern,0.00,0.15,0.0000
206,VisitorPattern,0.00,0.15,0.0000
